"","X","pais","CountryCode","indicador","year","m3","AL"
"244",10,"Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","2018",6562.608567,1
"245",326,"Dominican Republic","DOM","Renewable internal freshwater resources per capita (cubic meters)","1962",6674.206153,0
"246",93,"Guatemala","GTM","Renewable internal freshwater resources per capita (cubic meters)","2018",6680.145226,1
"247",356,"Greece","GRC","Renewable internal freshwater resources per capita (cubic meters)","1962",6865.340954,0
"248",235,"Tajikistan","TJK","Renewable internal freshwater resources per capita (cubic meters)","2018",6972.97735,0
"249",179,"Nepal","NPL","Renewable internal freshwater resources per capita (cubic meters)","2018",7054.457278,0
"250",499,"Togo","TGO","Renewable internal freshwater resources per capita (cubic meters)","1962",7130.628779,0
"251",304,"Switzerland","CHE","Renewable internal freshwater resources per capita (cubic meters)","1962",7248.177415,0
"252",124,"Cambodia","KHM","Renewable internal freshwater resources per capita (cubic meters)","2018",7421.632088,0
"253",491,"Eswatini","SWZ","Renewable internal freshwater resources per capita (cubic meters)","1962",7539.518213,0
"254",107,"Indonesia","IDN","Renewable internal freshwater resources per capita (cubic meters)","2018",7541.7337,0
"255",474,"Senegal","SEN","Renewable internal freshwater resources per capita (cubic meters)","1962",7617.803575,0
"256",281,"Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)","1962",7714.032133,0
"257",500,"Thailand","THA","Renewable internal freshwater resources per capita (cubic meters)","1962",7720.175531,0
"258",66,"Europe & Central Asia","ECS","Renewable internal freshwater resources per capita (cubic meters)","2018",7726.866459,0
"259",123,"Kyrgyz Republic","KGZ","Renewable internal freshwater resources per capita (cubic meters)","2018",7738.660087,0
"260",511,"Turkiye","TUR","Renewable internal freshwater resources per capita (cubic meters)","1962",7872.969533,0
"261",513,"Tanzania","TZA","Renewable internal freshwater resources per capita (cubic meters)","1962",7885.877089,0
"262",353,"Gambia, The","GMB","Renewable internal freshwater resources per capita (cubic meters)","1962",7897.105974,0
"263",143,"Late-demographic dividend","LTE","Renewable internal freshwater resources per capita (cubic meters)","2018",7956.357149,0
"264",199,"Post-demographic dividend","PST","Renewable internal freshwater resources per capita (cubic meters)","2018",8062.624598,0
"265",250,"Upper middle income","UMC","Renewable internal freshwater resources per capita (cubic meters)","2018",8157.52991,0
"266",96,"High income","HIC","Renewable internal freshwater resources per capita (cubic meters)","2018",8525.41561,0
"267",88,"Guinea-Bissau","GNB","Renewable internal freshwater resources per capita (cubic meters)","2018",8536.502083,0
"268",252,"United States","USA","Renewable internal freshwater resources per capita (cubic meters)","2018",8622.003207,0
"269",146,"Latvia","LVA","Renewable internal freshwater resources per capita (cubic meters)","2018",8790.072925,0
"270",223,"Slovenia","SVN","Renewable internal freshwater resources per capita (cubic meters)","2018",9002.388743,0
"271",406,"Lower middle income","LMC","Renewable internal freshwater resources per capita (cubic meters)","1962",9124.792711,0
"272",100,"Croatia","HRV","Renewable internal freshwater resources per capita (cubic meters)","2018",9222.467693,0
"273",438,"Namibia","NAM","Renewable internal freshwater resources per capita (cubic meters)","1962",9261.500574,0
