"","pais","CountryCode","indicador","X2018","X1962"
"180","Nauru","NRU","Renewable internal freshwater resources per capita (cubic meters)",936.5049635,2023.472278
"181","New Zealand","NZL","Renewable internal freshwater resources per capita (cubic meters)",66726.52328,131748.5898
"182","OECD members","OED","Renewable internal freshwater resources per capita (cubic meters)",9391.902491,15629.93803
"183","Oman","OMN","Renewable internal freshwater resources per capita (cubic meters)",289.8865219,2418.684685
"184","Other small states","OSS","Renewable internal freshwater resources per capita (cubic meters)",17012.51906,67024.54563
"185","Pakistan","PAK","Renewable internal freshwater resources per capita (cubic meters)",259.1548964,1165.28174
"186","Panama","PAN","Renewable internal freshwater resources per capita (cubic meters)",32703.93031,113601.6806
"187","Peru","PER","Renewable internal freshwater resources per capita (cubic meters)",51298.45903,152658.7886
"188","Philippines","PHL","Renewable internal freshwater resources per capita (cubic meters)",4491.268065,17060.0176
"189","Palau","PLW","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"190","Papua New Guinea","PNG","Renewable internal freshwater resources per capita (cubic meters)",93071.09516,342256.6463
"191","Poland","POL","Renewable internal freshwater resources per capita (cubic meters)",1411.464197,1768.480789
"192","Pre-demographic dividend","PRE","Renewable internal freshwater resources per capita (cubic meters)",3882.395744,19188.07717
"193","Puerto Rico","PRI","Renewable internal freshwater resources per capita (cubic meters)",2223.367657,2897.578359
"194","Korea, Dem. People's Rep.","PRK","Renewable internal freshwater resources per capita (cubic meters)",2622.349636,5643.66125
"195","Portugal","PRT","Renewable internal freshwater resources per capita (cubic meters)",3695.124245,4225.045961
"196","Paraguay","PRY","Renewable internal freshwater resources per capita (cubic meters)",16819.84466,58305.40571
"197","West Bank and Gaza","PSE","Renewable internal freshwater resources per capita (cubic meters)",177.7160295,NA
"198","Pacific island small states","PSS","Renewable internal freshwater resources per capita (cubic meters)",45257.40352,134409.9908
"199","Post-demographic dividend","PST","Renewable internal freshwater resources per capita (cubic meters)",8062.624598,12452.6167
"200","French Polynesia","PYF","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"201","Qatar","QAT","Renewable internal freshwater resources per capita (cubic meters)",20.13170449,995.2724558
"202","Romania","ROU","Renewable internal freshwater resources per capita (cubic meters)",2176.238333,2269.155706
"203","Russian Federation","RUS","Renewable internal freshwater resources per capita (cubic meters)",29845.40351,NA
"204","Rwanda","RWA","Renewable internal freshwater resources per capita (cubic meters)",772.2341033,3111.757629
"205","South Asia","SAS","Renewable internal freshwater resources per capita (cubic meters)",1092.438214,3345.939029
"206","Saudi Arabia","SAU","Renewable internal freshwater resources per capita (cubic meters)",71.21079145,550.10695
"207","Sudan","SDN","Renewable internal freshwater resources per capita (cubic meters)",95.69027279,NA
"208","Senegal","SEN","Renewable internal freshwater resources per capita (cubic meters)",1627.316308,7617.803575
"209","Singapore","SGP","Renewable internal freshwater resources per capita (cubic meters)",106.4079582,342.8179637
"210","Solomon Islands","SLB","Renewable internal freshwater resources per capita (cubic meters)",68468.39119,357485.6046
"211","Sierra Leone","SLE","Renewable internal freshwater resources per capita (cubic meters)",20914.62532,66980.38605
"212","El Salvador","SLV","Renewable internal freshwater resources per capita (cubic meters)",2434.29885,5332.310767
"213","San Marino","SMR","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"214","Somalia","SOM","Renewable internal freshwater resources per capita (cubic meters)",399.7807869,2087.526507
"215","Serbia","SRB","Renewable internal freshwater resources per capita (cubic meters)",1203.992092,NA
"216","Sub-Saharan Africa (excluding high income)","SSA","Renewable internal freshwater resources per capita (cubic meters)",3602.002462,18383.70809
"217","South Sudan","SSD","Renewable internal freshwater resources per capita (cubic meters)",2368.821067,NA
"218","Sub-Saharan Africa","SSF","Renewable internal freshwater resources per capita (cubic meters)",3602.002462,18383.70809
"219","Small states","SST","Renewable internal freshwater resources per capita (cubic meters)",24622.1885,76628.0877
"220","Sao Tome and Principe","STP","Renewable internal freshwater resources per capita (cubic meters)",10330.18689,33809.9817
"221","Suriname","SUR","Renewable internal freshwater resources per capita (cubic meters)",171878.8792,325771.4861
"222","Slovak Republic","SVK","Renewable internal freshwater resources per capita (cubic meters)",2313.297181,NA
"223","Slovenia","SVN","Renewable internal freshwater resources per capita (cubic meters)",9002.388743,NA
"224","Sweden","SWE","Renewable internal freshwater resources per capita (cubic meters)",16805.54335,22614.29742
"225","Eswatini","SWZ","Renewable internal freshwater resources per capita (cubic meters)",2323.383268,7539.518213
"226","Sint Maarten (Dutch part)","SXM","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"227","Seychelles","SYC","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"228","Syrian Arab Republic","SYR","Renewable internal freshwater resources per capita (cubic meters)",420.8895783,1462.845629
"229","Turks and Caicos Islands","TCA","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"230","Chad","TCD","Renewable internal freshwater resources per capita (cubic meters)",969.1345506,4805.803873
"231","East Asia & Pacific (IDA & IBRD countries)","TEA","Renewable internal freshwater resources per capita (cubic meters)",4219.634346,9746.466
"232","Europe & Central Asia (IDA & IBRD countries)","TEC","Renewable internal freshwater resources per capita (cubic meters)",11233.1515,NA
"233","Togo","TGO","Renewable internal freshwater resources per capita (cubic meters)",1457.708394,7130.628779
"234","Thailand","THA","Renewable internal freshwater resources per capita (cubic meters)",3233.688597,7720.175531
"235","Tajikistan","TJK","Renewable internal freshwater resources per capita (cubic meters)",6972.97735,NA
